YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1893,999.90,11.94,11.60,13.91,15.28,16.90,18.29,19.09,17.12,16.44,13.94,14.22,999.90,13.60,18.09,15.83,14.74
1894,9.77,999.90,11.83,13.97,14.60,16.45,17.27,18.97,18.87,17.00,13.97,999.90,12.12,13.47,17.56,16.61,14.94
1895,10.84,13.19,11.97,14.19,15.95,17.08,18.47,18.49,18.73,17.35,15.28,12.68,12.08,14.04,18.01,17.12,15.31
1896,13.36,14.84,14.14,12.91,16.39,18.00,19.49,19.80,999.90,17.22,14.59,14.37,13.63,14.48,19.10,16.91,16.03
1897,12.38,11.44,999.90,15.21,15.26,17.20,999.90,999.90,999.90,15.92,14.50,12.28,12.73,14.64,999.90,16.22,15.53
1898,10.18,13.10,12.21,15.57,14.58,17.71,18.32,20.33,18.71,16.40,14.74,12.80,11.85,14.12,18.79,16.62,15.34
1899,12.49,12.14,13.43,13.65,13.50,16.29,18.10,18.66,18.76,16.67,15.48,13.63,12.48,13.53,17.68,16.97,15.16
1900,13.91,14.21,14.38,13.14,15.97,999.90,18.81,999.90,999.90,999.90,999.90,999.90,13.92,14.50,999.90,999.90,999.90
1901,12.11,13.24,14.67,12.63,14.26,16.36,18.47,19.43,16.24,17.39,14.58,13.69,12.74,13.85,18.09,16.07,15.19
1902,12.33,12.32,11.87,13.73,14.79,17.02,18.43,18.42,18.69,16.30,13.73,11.82,12.78,13.46,17.96,16.24,15.11
1903,13.11,10.29,12.11,13.69,14.50,17.30,18.31,18.81,18.71,17.92,16.42,13.88,11.74,13.43,18.14,17.68,15.25
1904,12.47,12.25,13.15,14.67,14.93,17.88,18.16,20.34,20.46,18.11,16.86,14.32,12.87,14.25,18.79,18.48,16.10
1905,13.30,13.39,14.95,14.34,14.56,15.93,18.45,18.86,18.89,17.61,14.95,999.90,13.67,14.62,17.75,17.15,15.80
1906,12.32,14.39,13.29,14.11,14.39,18.23,19.78,18.89,19.32,18.31,13.33,12.49,13.42,13.93,18.97,16.99,15.83
1907,10.33,14.92,12.07,14.49,15.70,17.16,19.68,18.61,17.82,17.13,14.55,13.05,12.58,14.09,18.48,16.50,15.41
1908,12.38,11.02,13.10,14.91,14.57,15.69,18.83,19.16,18.18,15.15,13.21,10.60,12.15,14.19,17.89,15.51,14.94
1909,11.81,11.45,11.30,13.47,13.38,15.97,17.46,18.90,17.52,16.49,12.96,10.77,11.29,12.72,17.44,15.66,14.28
1910,10.02,11.54,13.08,16.14,15.53,15.96,18.40,17.97,18.26,16.97,13.86,12.94,10.78,14.92,17.44,16.36,14.88
1911,12.44,10.02,12.98,13.35,15.13,15.87,18.17,18.38,17.47,16.70,14.92,11.23,11.80,13.82,17.47,16.36,14.86
1912,12.57,13.70,11.27,12.43,15.07,15.80,17.45,17.43,17.43,16.09,14.49,11.03,12.50,12.92,16.89,16.00,14.58
1913,9.48,10.63,11.76,12.60,13.60,15.93,18.99,19.35,19.33,16.82,14.24,10.61,10.38,12.65,18.09,16.80,14.48
1914,11.22,12.20,14.85,15.55,14.24,16.01,16.90,17.15,16.83,17.56,16.40,10.77,11.34,14.88,16.69,16.93,14.96
1915,11.41,11.35,14.94,14.97,15.30,17.48,19.05,21.04,18.32,16.16,14.25,12.61,11.18,15.07,19.19,16.24,15.42
1916,10.52,13.26,14.82,14.60,15.90,16.09,18.38,18.39,17.53,13.05,12.21,9.50,12.13,15.11,17.62,14.26,14.78
1917,8.93,11.33,12.11,13.34,14.90,999.90,21.56,18.56,19.34,17.59,15.02,13.46,9.92,13.45,19.37,17.32,15.01
1918,11.38,11.10,12.73,14.33,14.03,18.44,18.28,19.71,19.80,19.43,13.68,10.51,11.98,13.70,18.81,17.64,15.53
1919,12.72,10.43,11.66,15.03,14.04,17.54,18.71,18.50,18.39,16.51,13.78,11.60,11.22,13.58,18.25,16.23,14.82
1920,12.48,11.89,11.84,13.52,14.08,16.75,19.53,20.26,18.20,15.02,13.06,11.38,11.99,13.15,18.85,15.43,14.85
1921,10.23,11.98,13.72,13.34,13.25,16.96,19.91,19.70,18.11,16.92,15.09,13.90,11.20,13.44,18.86,16.71,15.05
1922,10.58,11.67,12.12,13.34,14.96,17.52,19.13,20.32,19.64,16.32,12.44,13.17,12.05,13.47,18.99,16.13,15.16
1923,11.92,11.44,13.85,13.86,15.78,14.91,17.90,18.10,18.58,16.41,15.51,12.44,12.18,14.50,16.97,16.83,15.12
1924,11.36,15.01,12.41,14.95,16.29,16.71,17.39,17.24,18.00,13.91,13.13,9.56,12.94,14.55,17.11,15.01,14.90
1925,11.26,12.63,12.68,14.64,14.95,17.72,21.15,19.27,18.73,16.41,15.22,14.70,11.15,14.09,19.38,16.79,15.35
1926,12.78,14.26,15.57,17.14,17.34,17.16,18.88,20.45,17.94,17.47,15.50,11.28,13.91,16.68,18.83,16.97,16.60
1927,10.77,12.02,12.37,13.32,16.15,16.46,19.54,18.75,17.89,17.64,15.76,11.23,11.36,13.95,18.25,17.10,15.16
1928,12.96,12.85,14.19,15.36,16.39,17.03,17.88,18.77,18.66,15.89,14.21,11.62,12.35,15.31,17.89,16.25,15.45
1929,10.39,10.20,11.94,12.40,15.62,18.17,19.80,21.47,18.83,18.24,15.45,14.92,10.74,13.32,19.81,17.51,15.34
1930,11.09,13.65,13.34,15.61,14.61,17.38,19.89,20.73,17.91,17.56,15.39,11.67,13.22,14.52,19.33,16.95,16.01
1931,12.59,14.38,16.79,16.74,17.78,19.14,22.56,22.35,19.78,18.12,12.53,10.44,12.88,17.10,21.35,16.81,17.04
1932,9.46,11.57,14.30,14.37,15.54,16.88,17.93,18.50,17.93,16.64,17.06,10.79,10.49,14.74,17.77,17.21,15.05
1933,9.79,10.40,13.00,13.59,14.74,16.11,18.37,18.34,15.97,17.01,15.21,11.32,10.33,13.78,17.61,16.06,14.44
1934,12.62,13.27,15.80,15.58,17.26,16.37,19.77,19.30,19.22,16.89,14.45,13.08,12.40,16.21,18.48,16.85,15.99
1935,11.36,13.27,10.62,13.93,14.80,16.03,18.42,19.65,18.69,16.33,12.61,11.86,12.57,13.12,18.03,15.88,14.90
1936,12.32,11.86,12.86,13.46,16.25,18.16,20.78,19.96,18.64,17.54,15.61,11.72,12.01,14.19,19.63,17.26,15.78
1937,6.97,10.62,12.18,14.03,15.80,17.79,19.30,18.80,18.93,16.74,13.92,13.54,9.77,14.00,18.63,16.53,14.73
1938,12.91,11.70,11.86,13.78,15.31,15.94,17.89,19.71,19.81,16.05,13.04,13.69,12.72,13.65,17.85,16.30,15.13
1939,11.03,9.52,11.51,14.64,14.95,16.48,18.65,19.75,21.73,18.10,15.67,14.03,11.41,13.70,18.29,18.50,15.48
1940,12.84,12.80,13.99,15.54,999.90,16.67,999.90,18.32,18.49,17.54,13.95,13.74,13.22,15.33,17.72,16.66,15.73
1941,12.62,13.50,14.13,13.54,18.25,16.80,18.58,19.05,17.84,16.47,14.77,12.49,13.29,15.31,18.14,16.36,15.77
1942,12.23,11.18,12.23,13.85,15.17,16.61,19.55,18.98,17.53,17.59,14.57,12.19,11.97,13.75,18.38,16.56,15.16
1943,11.27,12.68,13.20,14.18,16.17,16.46,18.32,18.83,18.65,16.52,14.50,12.19,12.05,14.52,17.87,16.56,15.25
1944,11.11,10.84,12.96,13.28,14.52,15.81,16.81,18.55,18.26,16.45,12.91,12.40,11.38,13.59,17.06,15.87,14.47
1945,11.21,12.27,11.19,12.60,15.08,16.17,19.36,20.19,19.51,16.86,13.82,11.97,11.96,12.96,18.57,16.73,15.05
1946,11.00,10.57,12.16,14.09,15.17,17.41,19.68,19.31,19.57,15.88,12.84,11.63,11.18,13.81,18.80,16.10,14.97
1947,10.21,12.83,13.97,15.45,15.88,17.90,19.29,18.87,18.56,16.11,11.65,10.15,11.56,15.10,18.69,15.44,15.20
1948,10.88,10.52,11.01,13.33,15.50,16.42,17.46,18.03,17.48,999.90,12.67,999.90,10.52,13.28,17.30,15.21,14.08
1949,6.14,8.64,11.50,14.90,15.97,17.80,18.01,19.31,19.44,15.99,16.28,10.67,7.45,14.12,18.37,17.24,14.30
1950,9.11,11.22,12.80,14.43,14.26,16.06,19.20,17.64,17.77,17.43,15.77,14.18,10.33,13.83,17.63,16.99,14.70
1951,11.21,11.28,12.42,13.07,14.82,16.15,18.66,18.35,18.83,17.20,14.11,10.48,12.22,13.44,17.72,16.71,15.02
1952,9.75,12.13,11.13,13.67,15.47,15.98,18.24,18.96,18.95,15.87,13.23,11.17,10.79,13.42,17.73,16.02,14.49
1953,13.27,12.52,12.25,12.66,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.32,13.02,999.90,999.90,999.90
1954,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.54,999.90,999.90,999.90,999.90,999.90
1955,9.65,10.78,13.11,13.56,999.90,15.80,16.86,19.34,17.94,14.94,13.53,11.32,10.66,13.90,17.33,15.47,14.34
1956,11.04,9.34,12.77,12.45,14.87,16.55,17.69,17.85,19.18,15.66,15.95,13.49,10.57,13.36,17.36,16.93,14.56
1957,10.32,13.56,13.72,13.42,15.07,18.91,20.10,19.83,18.61,16.48,13.65,13.64,12.46,14.07,19.61,16.25,15.60
1958,12.90,13.88,11.75,16.14,16.42,17.56,17.91,20.23,20.39,19.19,14.79,14.11,13.47,14.77,18.57,18.12,16.23
1959,13.39,11.53,15.55,15.69,15.79,17.99,20.69,19.89,19.68,18.42,16.21,13.47,13.01,15.68,19.52,18.10,16.58
1960,10.34,11.77,13.92,15.84,16.59,17.33,19.24,17.96,18.97,999.90,13.58,12.20,11.86,15.45,18.18,16.41,15.48
1961,14.07,14.24,13.57,14.79,14.50,16.49,999.90,19.79,17.91,16.70,13.36,11.29,13.50,14.29,18.36,15.99,15.54
1962,12.20,10.94,11.36,14.94,14.48,15.61,17.16,18.94,18.02,16.76,14.15,12.93,11.48,13.59,17.24,16.31,14.65
1963,11.07,15.17,12.80,12.97,15.19,16.33,18.36,19.58,21.26,17.88,14.71,13.36,13.06,13.65,18.09,17.95,15.69
1964,11.93,12.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.63,999.90,999.90,999.90,999.90
1965,999.90,999.90,12.90,14.42,14.53,15.44,17.17,19.60,17.94,18.34,14.46,11.08,999.90,13.95,17.40,16.91,14.99
1966,10.97,11.34,13.12,15.33,14.99,17.33,18.18,19.68,19.07,17.70,14.47,12.02,11.13,14.48,18.40,17.08,15.27
1967,11.79,12.81,12.21,11.33,15.58,15.81,18.73,20.98,19.56,17.89,15.98,10.93,12.21,13.04,18.51,17.81,15.39
1968,11.23,14.06,14.34,14.67,15.50,16.17,18.91,18.58,18.65,16.66,14.47,10.46,12.07,14.84,17.89,16.59,15.35
1969,12.15,10.42,12.03,14.72,14.66,16.40,18.69,19.66,18.04,16.59,15.66,12.74,11.01,13.80,18.25,16.76,14.96
1970,11.64,13.25,13.56,13.74,15.47,17.08,17.54,18.22,17.91,16.17,14.10,10.92,12.54,14.26,17.61,16.06,15.12
1971,11.25,12.51,12.01,13.57,14.14,16.25,18.10,21.42,19.10,15.40,13.03,9.37,11.56,13.24,18.59,15.84,14.81
1972,9.59,11.71,14.18,13.79,15.35,17.42,18.53,20.20,18.92,17.25,13.59,999.90,10.22,14.44,18.72,16.59,14.99
1973,999.90,12.58,11.34,13.58,14.82,16.80,999.90,18.89,17.31,16.58,13.45,12.99,999.90,13.25,18.07,15.78,14.60
1974,10.46,12.28,12.35,999.90,15.04,17.31,19.09,18.98,18.77,17.09,15.09,11.94,11.91,13.73,18.46,16.98,15.27
1975,12.70,11.58,11.94,12.37,999.90,16.18,18.56,18.73,18.38,16.00,13.35,999.90,12.07,12.72,17.82,15.91,14.63
1976,12.76,12.42,13.59,13.18,15.38,19.11,18.88,19.59,19.14,18.65,16.98,13.52,12.65,14.05,19.19,18.26,16.04
1977,12.05,14.41,12.40,14.64,15.08,16.79,18.29,19.95,18.75,17.46,16.79,14.75,13.33,14.04,18.34,17.67,15.84
1978,13.29,13.45,15.57,13.90,999.90,999.90,18.40,19.38,20.34,18.11,13.97,999.90,13.83,15.30,18.20,17.47,16.20
1979,11.41,10.95,13.41,15.16,16.26,17.71,999.90,999.90,19.18,17.09,14.23,999.90,11.24,14.94,999.90,16.83,15.34
1980,13.38,14.21,13.18,14.75,14.41,16.18,17.49,19.38,16.93,999.90,14.72,13.69,13.86,14.11,17.68,15.96,15.40
1981,13.24,13.14,12.95,999.90,16.28,19.92,19.68,19.31,18.37,18.29,15.56,999.90,13.36,14.65,19.64,17.41,16.26
1982,999.90,13.33,12.45,999.90,15.04,15.33,17.92,19.36,19.62,17.59,13.73,11.72,999.90,13.78,17.54,16.98,15.00
1983,12.38,13.29,13.93,999.90,999.90,999.90,19.74,21.10,20.29,18.92,999.90,12.45,12.46,999.90,19.73,18.46,16.53
1984,13.26,999.90,15.00,15.60,17.56,17.80,20.52,21.61,22.67,16.69,12.76,999.90,12.98,16.05,19.98,17.37,16.60
1985,999.90,11.99,12.34,15.52,14.69,17.00,20.11,19.36,18.55,16.61,12.64,12.51,999.90,14.18,18.82,15.93,15.22
1986,13.81,13.30,14.37,15.27,15.24,17.12,19.16,18.44,17.08,17.22,16.13,12.98,13.21,14.96,18.24,16.81,15.80
1987,11.00,12.63,12.98,16.23,17.30,16.87,17.94,18.26,17.89,18.16,14.09,10.29,12.20,15.50,17.69,16.71,15.53
1988,11.21,13.41,15.96,15.02,16.07,16.45,19.75,19.26,17.81,16.84,13.56,11.87,11.64,15.68,18.49,16.07,15.47
1989,999.90,999.90,14.35,17.45,16.13,17.31,19.28,18.63,17.75,16.80,14.94,999.90,999.90,15.98,18.41,16.50,15.86
1990,999.90,10.78,999.90,15.59,16.27,18.23,20.12,19.92,19.47,999.90,15.03,10.93,999.90,15.34,19.42,17.39,16.29
1991,11.99,999.90,11.27,14.67,14.04,15.48,17.76,18.58,17.71,16.45,14.72,12.64,11.59,13.33,17.27,16.29,14.62
1992,11.95,14.57,13.94,17.00,18.22,18.97,999.90,21.08,20.22,999.90,999.90,11.31,13.05,16.39,20.25,999.90,17.01
1993,12.19,11.41,14.06,15.42,16.72,18.13,18.72,18.62,16.47,16.41,14.92,12.79,11.64,15.40,18.49,15.93,15.37
1994,12.96,12.30,14.85,15.11,15.44,18.20,18.29,21.14,19.21,999.90,999.90,999.90,12.68,15.13,19.21,999.90,16.13
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.31,15.91,14.47,12.26,999.90,999.90,999.90,16.23,999.90
1997,11.90,13.36,14.27,15.83,18.12,17.98,18.12,20.27,22.01,18.52,15.82,12.60,12.51,16.07,18.79,18.78,16.54
