,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
AK-500,988,912,648,65.59%,606,382,0,86,330,658,0,606,554,424,69.97%,0,122,38,156,450,0,382,358,224,58.64%,48,174,208,0,0,0,0,.,0,0,0,0,139,139,139,100.00%,27,105,34,0,139,139,139,100.00%,27,105,34,0,0,0,0,.,0,0,0,0,505,505,505,100.00%,41,126,379,0,0,0,0,.,0,0,0,0
AK-501,826,470,383,46.37%,583,243,0,100,316,459,51,583,277,226,38.77%,20,0,79,245,316,22,243,193,157,64.61%,21,71,143,29,0,0,0,.,0,0,0,0,19,19,19,100.00%,3,18,1,0,19,19,19,100.00%,3,18,1,0,0,0,0,.,0,0,0,0,210,210,210,100.00%,14,41,169,0,0,0,0,.,0,0,0,0
AL-500,1065,978,823,77.28%,400,631,34,127,409,638,18,400,341,331,82.75%,0,55,27,82,300,18,631,603,458,72.58%,100,327,304,0,34,34,34,100.00%,0,0,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1729,1729,1083,62.64%,298,965,764,0,0,0,0,.,0,0,0,0
AL-501,537,456,348,64.80%,344,193,0,75,213,324,0,344,296,268,77.91%,0,60,42,122,222,0,193,160,80,41.45%,33,91,102,0,0,0,0,.,0,0,0,0,10,10,0,0.00%,0,0,10,0,10,10,0,0.00%,0,0,10,0,0,0,0,.,0,0,0,0,199,199,199,100.00%,21,39,160,0,0,0,0,.,0,0,0,0
AL-502,266,188,34,12.78%,82,184,0,42,143,123,0,82,82,34,41.46%,10,0,14,48,34,0,184,106,0,0.00%,28,95,89,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,50,50,0,0.00%,0,0,50,0,0,0,0,.,0,0,0,0
AL-503,534,484,157,29.40%,445,89,0,50,161,370,3,445,395,85,19.10%,0,54,20,91,354,0,89,89,72,80.90%,30,70,16,3,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,211,211,84,39.81%,33,44,167,0,0,0,0,.,0,0,0,0
AL-504,463,403,403,87.04%,120,343,0,58,152,311,0,120,114,114,95.00%,0,0,8,18,102,0,343,289,289,84.26%,50,134,209,0,0,0,0,.,0,0,0,0,43,43,43,100.00%,11,39,4,0,43,43,43,100.00%,11,39,4,0,0,0,0,.,0,0,0,0,429,429,222,51.75%,46,133,296,0,0,0,0,.,0,0,0,0
AL-505,150,122,122,81.33%,122,28,0,60,60,75,15,122,102,102,83.61%,0,260,52,52,66,4,28,20,20,71.43%,8,8,9,11,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,12,12,12,100.00%,12,12,0,0,0,0,0,.,0,0,0,0
AL-506,155,139,62,40.00%,16,139,0,15,54,101,0,16,0,0,0.00%,0,0,5,6,10,0,139,139,62,44.60%,10,48,91,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,188,188,175,93.09%,5,5,183,0,0,0,0,.,0,0,0,0
