"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","160010010","1","0.03","ppm","28","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/02/2023","AQS","160010010","1","0.028","ppm","26","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/03/2023","AQS","160010010","1","0.021","ppm","19","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/04/2023","AQS","160010010","1","0.031","ppm","29","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/05/2023","AQS","160010010","1","0.023","ppm","21","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/06/2023","AQS","160010010","1","0.022","ppm","20","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/07/2023","AQS","160010010","1","0.033","ppm","31","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/08/2023","AQS","160010010","1","0.034","ppm","31","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/09/2023","AQS","160010010","1","0.033","ppm","31","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/10/2023","AQS","160010010","1","0.012","ppm","11","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/11/2023","AQS","160010010","1","0.031","ppm","29","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
