Date,West Region Ground Beef Price (USD per lb)
Jan 2015, 4.51 
Feb 2015, 4.43 
Mar 2015, 4.51 
Apr 2015, 4.58 
May 2015, 4.36 
Jun 2015, 4.67 
Jul 2015, 4.52 
Aug 2015, 4.56 
Sep 2015, 4.45 
Oct 2015, 4.03 
Nov 2015, 4.54 
Dec 2015, 4.56 
Jan 2016, 4.47 
Feb 2016, 4.36 
Mar 2016, 4.43 
Apr 2016, 4.22 
May 2016, 4.02 
Jun 2016, 4.16 
Jul 2016, 4.14 
Aug 2016, 4.01 
Sep 2016, 4.04 
Oct 2016, 4.02 
Nov 2016, 4.15 
Dec 2016, 4.10 
Jan 2017, 4.13 
Feb 2017, 4.10 
Mar 2017, 4.12 
Apr 2017, 3.89 
May 2017, 3.90 
Jun 2017, 4.04 
Jul 2017, 4.20 
Aug 2017, 4.15 
Sep 2017, 4.06 
Oct 2017, 4.24 
Nov 2017, 4.14 
Dec 2017, 4.23 
Jan 2018, 4.03 
Feb 2018, 3.99 
Mar 2018, 4.10 
Apr 2018, 4.09 
May 2018, 4.09 
Jun 2018, 4.09 
Jul 2018, 4.10 
Aug 2018, 4.17 
Sep 2018, 3.99 
Oct 2018, 4.12 
Nov 2018, 4.20 
Dec 2018, 4.18 
Jan 2019, 4.15 
Feb 2019, 4.17 
Mar 2019, 4.20 
Apr 2019, 4.27 
May 2019, 4.09 
Jun 2019, 4.10 
Jul 2019, 4.10 
Aug 2019, 4.28 
Sep 2019, 4.22 
Oct 2019, 4.29 
Nov 2019, 4.33 
Dec 2019, 4.28 
Jan 2020, 4.16 
Feb 2020, 4.28 
Mar 2020, 4.18 
Apr 2020, 4.60 
May 2020, 4.53 
Jun 2020, 4.91 
Jul 2020, 4.88 
Aug 2020, 4.71 
Sep 2020, 4.68 
Oct 2020, 4.70 
Nov 2020, 4.57 
Dec 2020, 4.47 
Jan 2021, 4.43 
Feb 2021, 4.40 
Mar 2021, 4.59 
Apr 2021, 4.79 
May 2021, 4.52 
Jun 2021, 4.78 
Jul 2021, 4.76 
Aug 2021, 4.87 
Sep 2021, 5.03 
Oct 2021, 5.36 
Nov 2021, 5.62 
Dec 2021, 5.47 
Jan 2022, 5.43 
Feb 2022, 5.42 
Mar 2022, 5.62 
Apr 2022, 5.79 
May 2022, 5.43 
Jun 2022, 5.48 
Jul 2022, 5.46 
Aug 2022, 5.56 
Sep 2022, 5.43 
Oct 2022, 5.41 
Nov 2022, 5.53 
Dec 2022, 5.51 
Jan 2023, 5.55 
Feb 2023, 5.35 
Mar 2023, 5.61 
Apr 2023, 5.48 
May 2023, 5.69 
Jun 2023, 5.88 
Jul 2023, 5.91 
Aug 2023, 5.81 
Sep 2023, 6.02 
Oct 2023, 5.97 
Nov 2023, 6.02 
Dec 2023, 6.10 
Jan 2024, 5.81 
Feb 2024, 5.94 
Mar 2024, 5.76 
Apr 2024, 5.98 
May 2024, 6.01 
Jun 2024, 6.35 
Jul 2024, 6.46 
Aug 2024, 6.46 
Sep 2024, 6.76 
Oct 2024, 6.14 
Nov 2024, 6.33 
Dec 2024, 6.24
